autoservicio,direccion_calle,direccion_numero,farmacia,fecha_hora_actualizacion,gasolina 93,gasolina 95,gasolina 97,glp vehicular,gnc,id_region,latitud,longitud,mantencion,nombre_comuna,petroleo diesel,tienda
False,VIVAR,402,False,2022-06-02 09:12:35,1174.0,1193.0,1210.0,,,01,-20.213349467685,-70.148566067219,False,Iquique,965.0,True
False,"SITIO Nï¿½ 54-B, BARRIO INDUSTRIAL",54,False,2022-06-01 23:23:11,1174.0,1193.0,1210.0,,,01,-20.204750465386,-70.14159232378,False,Iquique,965.0,True
True,AVDA. SALVADOR ALLENDE,2345,False,2022-06-02 07:31:22,1168.0,1187.0,1204.0,,,01,-20.230942432782,-70.135897994041,False,Iquique,959.0,True
False,Avda. Salvador Allende,2345,False,2022-06-02 07:31:58,,,,,,01,-20.2564238,-70.1280766,False,Iquique,965.0,False
True,Salvador Allende,2102,False,2022-06-03 08:52:11,1174.0,1193.0,1210.0,,,01,-20.228987,-70.1354236,False,Iquique,965.0,False
True,MANUEL RODRIGUEZ,1404,False,2022-06-02 00:30:03,1168.0,1187.0,1204.0,,,01,-20.22339204774,-70.142222642899,False,Iquique,959.0,False
False,ANIBAL PINTO,1377,False,2022-06-02 06:51:42,1174.0,1193.0,1210.0,,,01,-20.221026185,-70.153117775917,False,Iquique,965.0,False
True,Avda. Arturo Prat Chacon,1732,True,2022-06-02 08:29:30,1174.0,1193.0,1210.0,,,01,-20.241371428223,-70.14390707016,True,Iquique,965.0,True
False,AVDA.CIRCUNVALACION,720,False,2022-06-02 01:33:06,,,,635.0,,01,-20.213696815863,-70.1316010952,False,Iquique,,False
False,Pedro Prado,2210,False,2022-05-26 18:31:51,,,,650.0,,01,-20.2363741,-70.1356807,False,Iquique,,False
False,Av. Arturo Prat,3415,False,2022-06-02 08:19:53,1176.0,1195.0,1212.0,,,01,-20.258790114721,-70.133119225502,False,Iquique,967.0,True
False,Av. Arturo Prat,1656,False,2022-06-02 08:20:31,1174.0,1193.0,1210.0,,,01,-20.239972211762,-70.145087242126,False,Iquique,965.0,False
False,Av. Tadeo Haenke,1808,False,2022-06-02 10:15:20,1167.0,1186.0,1203.0,,,01,-20.23799919448,-70.143756866455,False,Iquique,965.0,False
False,Av. Salvador Allende esq. O'Higgins,0,False,2022-06-03 11:03:09,1174.0,1193.0,1210.0,,,01,-20.219556311727,-70.134530067444,False,Iquique,965.0,False
False,Pedro Prado esq. Gómez Carreño,0,False,2022-06-02 16:46:27,1174.0,1193.0,1210.0,,,01,-20.233006140888,-70.13554930687,False,Iquique,965.0,False
True,OHiggins,2280,False,2022-06-02 10:21:30,1172.0,1191.0,1208.0,,,01,-20.219516041031,-70.13424038887,True,Iquique,955.0,False
True,Avda. Arturo Prat,1850,False,2022-06-02 10:01:34,1174.0,1193.0,1210.0,,,01,-20.242222024877,-70.142480134964,False,Iquique,965.0,True
False,Cespedes Gonzalez,1685,False,2022-06-02 10:00:09,1172.0,1191.0,1208.0,,,01,-20.2248568511,-70.140050053596,False,Iquique,963.0,False
True,Genaro Gallo,2361,False,2022-06-02 10:06:21,1168.0,1187.0,1204.0,,,01,-20.231584198604,-70.137767493725,False,Iquique,959.0,False
False,Manuel Rodrï¿½guezVivar,705,False,2022-05-19 10:01:48,1160.0,1179.0,1196.0,,,01,-20.223565710715,-70.149102509022,False,Iquique,951.0,True
False,PASTOR LORENZO PEREZ EX QUINTA SUR,1919,False,2016-09-26 15:48:37,,,,410.0,,01,-20.2167,-70.142223,False,Iquique,,False
False,"Ruta A-616, Manzana C, Lote A",0,False,2022-04-29 17:27:11,,,,645.0,,01,-20.2686722,-70.1049169,False,Alto Hospicio,,False
False,RUTA A-16 KM 32  AVDA SANTA ROSA,0,False,2022-06-02 08:17:54,1174.0,1193.0,1210.0,,,01,-20.261472449014,-70.067110061646,False,Alto Hospicio,957.0,False
False,"ALTO HOSPICIO, RUTA A 16 KM.",37,False,2022-06-01 23:46:06,1174.0,1193.0,1210.0,,,01,-20.273773855456,-70.095235705376,False,Alto Hospicio,957.0,True
False,Teniente Merino Correa,3945,False,2022-06-01 23:25:41,1174.0,1193.0,1210.0,,,01,-20.268073,-70.095478,False,Alto Hospicio,959.0,True
False,Ruta A 616,2999,False,2022-06-01 21:47:21,,,,,,01,-20.253729474073,-70.109326368189,False,Alto Hospicio,945.0,False
False,Avda. Santa Rosa de Molle,4054,False,2022-06-01 20:15:10,,,,,,01,-20.28191448643,-70.093640384161,False,Alto Hospicio,953.0,False
